respondent_id,xyz_vaccine,seasonal_vaccine
26707,0.51233566,0.1012755
26708,0.023630079,0.009540258
26709,0.7858031,0.3375347
26710,0.70429975,0.36617
26711,0.591192,0.34526113
26712,0.9354769,0.64134526
26713,0.33534414,0.12822147
26714,0.20548402,0.11397812
26715,0.12446423,0.047153093
26716,0.8624786,0.116863996
26717,0.59713733,0.00711092
26718,0.6675074,0.22814
26719,0.9527501,0.025388924
26720,0.5844351,0.17538857
26721,0.62918556,0.16940588
26722,0.16155688,0.09027937
26723,0.86269915,0.6128132
26724,0.8522795,0.074094385
26725,0.09360094,0.06174149
26726,0.14582422,0.052112743
26727,0.7832531,0.18706343
26728,0.5002606,0.20285833
26729,0.38540247,0.1896725
26730,0.50208,0.15950657
26731,0.36160457,0.008107438
26732,0.006317079,0.004976704
26733,0.97758675,0.9374892
26734,0.60245883,0.60709834
26735,0.40878728,0.18657629
26736,0.26687688,0.0742602
26737,0.25089335,0.11961489
26738,0.7080668,0.44278324
26739,0.091613635,0.039901525
26740,0.16602923,0.0954876
26741,0.7772461,0.13513803
26742,0.46989104,0.077755116
26743,0.44070232,0.05898338
26744,0.822768,0.05873249
26745,0.67075694,0.05696907
26746,0.5958432,0.20573895
26747,0.29761657,0.11509124
26748,0.35734454,0.09956462
26749,0.66654646,0.029558823
26750,0.81868964,0.6213703
26751,0.8308443,0.50305074
26752,0.13994728,0.15219457
26753,0.3848925,0.17442054
26754,0.7802144,0.13333271
26755,0.27894697,0.10826592
26756,0.0362956,0.012362137
26757,0.5491657,0.42103735
26758,0.7977357,0.48417506
26759,0.13319753,0.03873666
26760,0.43325105,0.028512726
26761,0.55694294,0.3492776
26762,0.9259199,0.18287176
26763,0.942738,0.7831267
26764,0.94554615,0.8111797
26765,0.34288245,0.012547283
26766,0.15567553,0.118245274
26767,0.9710969,0.9612769
26768,0.86939126,0.010442549
26769,0.67573273,0.14312331
26770,0.6790781,0.20461892
26771,0.015839294,0.004570752
26772,0.5165187,0.056833696
26773,0.11417756,0.01136352
26774,0.7240087,0.09607019
26775,0.6574838,0.08892169
26776,0.7696141,0.66799104
26777,0.81136394,0.06261806
26778,0.016505156,0.007595605
26779,0.62644494,0.107127756
26780,0.9217081,0.051009927
26781,0.03541606,0.002976719
26782,0.5963222,0.044567447
26783,0.25402623,0.07336471
26784,0.8472323,0.26346183
26785,0.78361374,0.49695885
26786,0.25191644,0.09980708
26787,0.41387513,0.118799955
26788,0.8972473,0.043496482
26789,0.5644227,0.045802485
26790,0.13689886,0.04397798
26791,0.13892338,0.055019222
26792,0.8267152,0.1880276
26793,0.9494826,0.057385303
26794,0.9851742,0.94516677
26795,0.9419005,0.047665246
26796,0.016093208,0.010360093
26797,0.8275694,0.17741215
26798,0.31792858,0.32526842
26799,0.68969095,0.39711037
26800,0.90832824,0.022164783
26801,0.38372144,0.20012535
26802,0.35389882,0.05703381
26803,0.19713727,0.05130173
26804,0.13986573,0.061675426
26805,0.07910475,0.0197181
26806,0.90487087,0.03070886
26807,0.8105693,0.50596845
26808,0.60227084,0.30104467
26809,0.24637409,0.24876355
26810,0.13307105,0.032494728
26811,0.14797755,0.13503484
26812,0.89046645,0.1269469
26813,0.04023509,0.0908015
26814,0.6347703,0.009827564
26815,0.05096589,0.020515133
26816,0.38300082,0.17241223
26817,0.50342804,0.12270412
26818,0.59693485,0.2562189
26819,0.2819161,0.3088187
26820,0.41067964,0.14151675
26821,0.74826884,0.09359375
26822,0.8121024,0.09926865
26823,0.6287693,0.368047
26824,0.7752185,0.022273788
26825,0.73435724,0.3989457
26826,0.3796954,0.07719203
26827,0.10725142,0.03324172
26828,0.514609,0.19304016
26829,0.84311646,0.50015855
26830,0.69109976,0.03524044
26831,0.77922803,0.12103596
26832,0.8873564,0.083902985
26833,0.056251395,0.00091411
26834,0.74012506,0.36135092
26835,0.9138266,0.673306
26836,0.6687971,0.2579955
26837,0.04572007,0.12769972
26838,0.2602468,0.09001662
26839,0.3612519,0.15150712
26840,0.18214393,0.08552461
26841,0.7849316,0.510604
26842,0.14681911,0.04094253
26843,0.043635044,0.026467783
26844,0.53056556,0.064616345
26845,0.71093214,0.076946296
26846,0.8644386,0.10993789
26847,0.47076476,0.41447866
26848,0.7946794,0.0407369
26849,0.3461054,0.03519544
26850,0.5047121,0.20740204
26851,0.082195655,0.024994828
26852,0.13745035,0.04612653
26853,0.83344465,0.6359062
26854,0.11018831,0.032705728
26855,0.8718044,0.49113214
26856,0.07506413,0.023426725
26857,0.011434116,0.037760828
26858,0.6646657,0.14816608
26859,0.33514163,0.15246986
26860,2.2503787e-06,1.3353184e-06
26861,0.1386145,0.05858863
26862,0.35930535,0.1059655
26863,0.53738916,0.19920997
26864,0.38609755,0.258975
26865,0.06979168,0.03427703
26866,0.36451072,0.16865122
26867,0.24596888,0.1163922
26868,0.98621476,0.8073442
26869,0.43655023,0.020344038
26870,0.8486986,0.70688874
26871,0.15847725,0.023486417
26872,0.010638464,0.001091023
26873,0.69663215,0.07922477
26874,0.18385436,0.07199788
26875,0.8862472,0.6340169
26876,0.14309566,0.121051334
26877,0.43416962,0.09950207
26878,0.32632536,0.17796828
26879,0.1561503,0.044363745
26880,0.13874885,0.04030991
26881,0.10771236,0.023525085
26882,0.14025947,0.025572632
26883,0.6747097,0.122218676
26884,0.25524437,0.2744113
26885,0.6714518,0.255733
26886,0.76989335,0.073105395
26887,0.7371371,0.5792917
26888,0.97614247,0.89093065
26889,0.2026553,0.103438154
26890,0.6552671,0.1900228
26891,0.9062097,0.6774478
26892,0.41174415,0.06536635
26893,0.10446193,0.033003435
26894,0.47305074,0.21527828
26895,0.7270999,0.040862184
26896,0.09263858,0.034901787
26897,0.25957322,0.047382526
26898,0.8334547,0.24431507
26899,0.18978344,0.057252854
26900,0.2569157,0.052881088
26901,0.59713995,0.012958658
26902,0.85226715,0.10818433
26903,0.4049914,0.16309723
26904,0.42982963,0.06493185
26905,0.65728736,0.2756529
26906,0.1750834,0.043422535
26907,0.7616128,0.028130678
26908,0.6872256,0.14816034
26909,0.2163154,0.054320645
26910,0.361033,0.22823898
26911,0.2880058,0.15912071
26912,0.87777513,0.33279797
26913,0.87237334,0.6075014
26914,0.40018553,0.097191766
26915,0.63578093,0.146923
26916,0.29131517,0.044039577
26917,0.000100077,3.6984482e-05
26918,0.974517,0.8778341
26919,0.4448772,0.2509378
26920,0.20687719,0.05067371
26921,0.968933,0.020782685
26922,0.8228204,0.030678114
26923,0.29052654,0.10706331
26924,0.973275,0.8775765
26925,0.8251386,0.15489212
26926,0.56754076,0.33509254
26927,0.54430115,0.3235218
26928,0.8365526,0.111380935
26929,0.30482653,0.12511872
26930,0.8932501,0.52487826
26931,0.557606,0.15464973
26932,0.8998922,0.022512728
26933,0.84941995,0.04471998
26934,0.6242931,0.4156681
26935,0.6245379,0.23140258
26936,0.49245265,0.3758812
26937,0.7331624,0.27134562
26938,0.08778781,0.050751857
26939,0.07168787,0.033520114
26940,0.5107569,0.08616059
26941,0.30680427,0.065027855
26942,0.7872188,0.5186963
26943,0.7900763,0.10347582
26944,0.3732155,0.19807953
26945,0.369086,0.10169578
26946,0.66961396,0.10168841
26947,0.70420295,0.30543876
26948,0.08458872,0.041365486
26949,0.005173334,0.000491279
26950,0.5568838,0.09504166
26951,0.076938525,0.025786107
26952,0.78750676,0.6065877
26953,0.9202959,0.78155595
26954,0.21498306,0.07902021
26955,0.55054295,0.0870382
26956,0.7827766,0.53144443
26957,0.9676004,0.007568043
26958,0.86162686,0.24294104
26959,0.37274635,0.040555604
26960,0.13016732,0.08288302
26961,0.37649834,0.27373505
26962,0.85139054,0.07412462
26963,0.33049953,0.09838939
26964,0.15444861,0.068949156
26965,0.9310229,0.8283516
26966,0.009104091,0.000730311
26967,0.07378189,0.022988658
26968,0.9053507,0.05911572
26969,0.26536322,0.09793589
26970,0.6526573,0.552863
26971,0.3087171,0.07653261
26972,6.966133e-05,3.3136695e-07
26973,0.44652963,0.032152154
26974,0.18750142,0.07728814
26975,0.5486032,0.022521244
26976,0.97451603,0.9711131
26977,0.116962165,0.04068271
26978,0.9813385,0.006850414
26979,0.90977633,0.3617972
26980,0.05442855,0.025727337
26981,0.4178093,0.095212474
26982,0.79850626,0.64784527
26983,0.48404557,0.14340109
26984,0.20131779,0.080388606
26985,0.49740306,0.066894524
26986,0.49453822,0.31158057
26987,0.1728663,0.071808636
26988,0.095186375,0.04076048
26989,0.6866877,0.086701445
26990,0.013234261,0.000450683
26991,0.55086696,0.3204944
26992,0.52068985,0.33149326
26993,0.8691754,0.20674832
26994,0.46422964,0.14328158
26995,0.2600132,0.072119705
26996,0.6779493,0.58125573
26997,0.22188632,0.08702834
26998,0.012653363,0.006028023
26999,0.8272755,0.6108368
27000,0.09493982,0.034611214
27001,0.8467792,0.047293846
27002,0.50007796,0.001406979
27003,0.0893406,0.023800008
27004,0.59293973,0.13633177
27005,0.8696417,0.5374292
27006,0.8748442,0.86775786
27007,0.1035652,0.013754688
27008,0.005639914,0.001312397
27009,0.18477459,0.07771773
27010,0.32245913,0.13717471
27011,0.06227582,0.030965898
27012,0.7939479,0.35099033
27013,0.21897523,0.09037356
27014,0.27997473,0.02481969
27015,0.12749046,0.029252838
27016,0.06704255,0.041197468
27017,0.76880395,0.32515287
27018,0.09705313,0.05119632
27019,0.9310977,0.7445144
27020,0.6096014,0.46846467
27021,0.18051067,0.05384755
27022,0.14086473,0.08182174
27023,0.039665405,0.023336144
27024,0.19411778,0.05609715
27025,0.25634652,0.24694726
27026,0.6925743,0.042479977
27027,0.78301674,0.07038079
27028,0.65071297,0.33020347
27029,0.52045846,0.16617946
27030,0.51732945,0.23159988
27031,0.84145117,0.052242223
27032,0.7819709,0.3145483
27033,0.5390011,0.34203348
27034,0.5202013,0.000751545
27035,0.17632736,0.08171743
27036,0.42382216,0.147587
27037,0.8718325,0.64214414
27038,0.06351087,0.024275996
27039,0.8378195,0.6403398
27040,0.3548575,0.19623224
27041,0.44327915,0.01988168
27042,0.8677735,0.047700975
27043,0.7723032,0.43222475
27044,0.1986532,0.070941575
27045,0.58058167,0.13092913
27046,0.25411806,0.07646503
27047,0.6607679,0.5710759
27048,0.13224563,0.044203237
27049,0.9214525,0.3454852
